
XFOIL
Airfoil = OSO-21
Re = 3e6
Ncrit = 9.0
X_trip_upper = 1.0
X_trip_lower = 1.0
 alpha      CL      CD        Re       CM     S_xtr   P_xtr
-11.000  -0.8003  0.00913  18000000  -0.0965  0.4862  0.0303
-10.000  -0.6727  0.00843  18000000  -0.1004  0.4640  0.0356
 -9.000  -0.5445  0.00788  18000000  -0.1041  0.4440  0.0411
 -8.000  -0.4153  0.00737  18000000  -0.1078  0.4282  0.0507
 -7.000  -0.2858  0.00694  18000000  -0.1114  0.4130  0.0624
 -6.000  -0.1562  0.00659  18000000  -0.1150  0.3979  0.0773
 -5.000  -0.0266  0.00631  18000000  -0.1185  0.3826  0.0967
 -4.000   0.1029  0.00608  18000000  -0.1219  0.3667  0.1240
 -3.000   0.2327  0.00586  18000000  -0.1254  0.3575  0.1591
 -2.000   0.3626  0.00565  18000000  -0.1289  0.3466  0.2102
 -1.000   0.4924  0.00548  18000000  -0.1325  0.3313  0.2795
  0.000   0.6217  0.00534  18000000  -0.1360  0.3244  0.3543
  1.000   0.7490  0.00532  18000000  -0.1389  0.3136  0.4124
  2.000   0.8742  0.00542  18000000  -0.1414  0.3019  0.4580
  3.000   0.9985  0.00552  18000000  -0.1437  0.2957  0.4885
  4.000   1.1210  0.00576  18000000  -0.1457  0.2824  0.5164
  5.000   1.2427  0.00596  18000000  -0.1476  0.2770  0.5344
  6.000   1.3630  0.00625  18000000  -0.1492  0.2663  0.5470
  7.000   1.4794  0.00683  18000000  -0.1504  0.2404  0.5645
  8.000   1.5926  0.00759  18000000  -0.1510  0.2090  0.5786
  9.000   1.6901  0.00953  18000000  -0.1491  0.1327  0.5865
 10.000   1.7778  0.01182  18000000  -0.1457  0.0626  0.6032
 11.000   1.8671  0.01349  18000000  -0.1426  0.0359  0.6133
 12.000   1.9514  0.01501  18000000  -0.1388  0.0258  0.6250
 13.000   2.0074  0.01677  18000000  -0.1301  0.0209  0.6379
 14.000   2.0524  0.01958  18000000  -0.1217  0.0177  0.6462
 15.000   2.0868  0.02433  18000000  -0.1152  0.0153  0.6608
 16.000   2.1050  0.03241  18000000  -0.1119  0.0142  0.6670
 17.000   2.0893  0.04486  18000000  -0.1098  0.0128  0.6814
 18.000   2.0425  0.06110  18000000  -0.1082  0.0123  0.6871
 19.000   1.9745  0.08078  18000000  -0.1083  0.0116  0.6963
 20.000   1.9280  0.09840  18000000  -0.1096  0.0106  0.7050
 21.000   1.8916  0.11514  18000000  -0.1124  0.0104  0.7094
 22.000   1.8616  0.13143  18000000  -0.1168  0.0099  0.7219
 23.000   1.8508  0.14511  18000000  -0.1219  0.0089  0.7276
 24.000   1.8377  0.15942  18000000  -0.1287  0.0086  0.7411
 25.000   1.8394  0.17129  18000000  -0.1354  0.0082  0.7474
 26.000   1.8415  0.18310  18000000  -0.1431  0.0075  0.7632
 28.000   1.8546  0.20479  18000000  -0.1598  0.0067  0.7874
 29.000   1.8608  0.21533  18000000  -0.1690  0.0064  0.8029
 30.000   1.8646  0.22618  18000000  -0.1792  0.0059  0.8238

XFOIL
Airfoil = OSO-21
Re = 18e6
Ncrit = 3.0
X_trip_upper = 0.05
X_trip_lower = 0.05
 alpha      CL      CD        Re       CM     S_xtr   P_xtr
-------  -------  -------  --------  -------  ------  ------
-30.000  -1.1100  0.24738  18000000   0.0679  1.0000  0.0059
-29.000  -1.1299  0.22714  18000000   0.0496  1.0000  0.0063
-28.000  -1.1704  0.20315  18000000   0.0289  1.0000  0.0065
-27.000  -1.2287  0.17719  18000000   0.0077  1.0000  0.0066
-26.000  -1.3067  0.14943  18000000  -0.0130  1.0000  0.0067
-25.000  -1.4150  0.11922  18000000  -0.0325  1.0000  0.0070
-24.000  -1.5057  0.09373  18000000  -0.0467  1.0000  0.0072
-23.000  -1.5668  0.07413  18000000  -0.0565  0.6821  0.0076
-21.000  -1.5865  0.04887  18000000  -0.0666  0.6068  0.0084
-20.000  -1.5638  0.04038  18000000  -0.0693  0.5768  0.0085
-19.000  -1.5286  0.03339  18000000  -0.0711  0.5537  0.0089
-18.000  -1.4845  0.02751  18000000  -0.0724  0.5289  0.0096
-17.000  -1.4299  0.02284  18000000  -0.0731  0.5068  0.0103
-16.000  -1.3614  0.01923  18000000  -0.0738  0.4867  0.0109
-15.000  -1.2850  0.01624  18000000  -0.0745  0.4674  0.0121
-13.000  -1.0628  0.01276  18000000  -0.0841  0.0500  0.0149
-12.000  -0.9347  0.01148  18000000  -0.0902  0.0500  0.0161
-11.000  -0.8089  0.01058  18000000  -0.0944  0.0500  0.0186
-10.000  -0.6822  0.00990  18000000  -0.0982  0.0500  0.0214
 -9.000  -0.5546  0.00936  18000000  -0.1019  0.0500  0.0249
 -8.000  -0.4263  0.00891  18000000  -0.1055  0.0500  0.0302
 -7.000  -0.2978  0.00857  18000000  -0.1090  0.0500  0.0363
 -5.000  -0.0413  0.00817  18000000  -0.1156  0.0500  0.0500
 -4.000   0.0855  0.00815  18000000  -0.1184  0.0500  0.0500
 -3.000   0.2119  0.00817  18000000  -0.1211  0.0500  0.0500
 -2.000   0.3377  0.00823  18000000  -0.1237  0.0500  0.0500
 -1.000   0.4630  0.00835  18000000  -0.1262  0.0500  0.0500
  0.000   0.5875  0.00850  18000000  -0.1286  0.0500  0.0500
  1.000   0.7112  0.00870  18000000  -0.1309  0.0500  0.0500
  2.000   0.8339  0.00894  18000000  -0.1330  0.0500  0.0500
  3.000   0.9554  0.00923  18000000  -0.1349  0.0500  0.0500
  4.000   1.0757  0.00957  18000000  -0.1367  0.0500  0.0500
  5.000   1.1945  0.00995  18000000  -0.1382  0.0500  0.0500
  6.000   1.3117  0.01039  18000000  -0.1395  0.0500  0.0500
  7.000   1.4269  0.01088  18000000  -0.1405  0.0500  0.0500
  8.000   1.5358  0.01176  18000000  -0.1405  0.0337  0.0500
 10.000   1.7424  0.01370  18000000  -0.1388  0.0179  0.0500
 11.000   1.8371  0.01482  18000000  -0.1366  0.0150  0.0500
 12.000   1.9187  0.01620  18000000  -0.1324  0.0124  0.0500
 15.000   2.0574  0.02663  18000000  -0.1132  0.0086  0.5962
 16.000   2.0697  0.03588  18000000  -0.1109  0.0082  0.6052
 17.000   2.0396  0.05010  18000000  -0.1089  0.0076  0.6143
 18.000   1.9815  0.06809  18000000  -0.1079  0.0070  0.6232
 19.000   1.9267  0.08654  18000000  -0.1085  0.0067  0.6267
 20.000   1.8839  0.10401  18000000  -0.1103  0.0066  0.6358
 21.000   1.8489  0.12087  18000000  -0.1137  0.0063  0.6443
 22.000   1.8345  0.13505  18000000  -0.1179  0.0058  0.6496
 23.000   1.8164  0.15009  18000000  -0.1239  0.0054  0.6604
 24.000   1.8177  0.16226  18000000  -0.1300  0.0052  0.6667
 25.000   1.8203  0.17408  18000000  -0.1369  0.0049  0.6766
 26.000   1.8244  0.18566  18000000  -0.1446  0.0045  0.6863
 27.000   1.8302  0.19683  18000000  -0.1529  0.0041  0.6952
 28.000   1.8376  0.20746  18000000  -0.1616  0.0039  0.7060
 29.000   1.8451  0.21784  18000000  -0.1708  0.0038  0.7159
 30.000   1.8512  0.22832  18000000  -0.1808  0.0036  0.7259

XFOIL
Airfoil = OSO-30
Re = 3e6
Ncrit = 9.0
X_trip_upper = 1.0
X_trip_lower = 1.0
 alpha      CL      CD        Re       CM     S_xtr   P_xtr
-------  -------  -------  --------  -------  ------  ------
-30.000  -1.2998  0.20016   3000000   0.0302  1.0000  0.0287
-29.000  -1.2825  0.19019   3000000   0.0208  1.0000  0.0306
-28.000  -1.2671  0.17980   3000000   0.0118  1.0000  0.0331
-27.000  -1.2461  0.17005   3000000   0.0037  1.0000  0.0355
-26.000  -1.2286  0.15972   3000000  -0.0039  1.0000  0.0388
-25.000  -1.2101  0.14945   3000000  -0.0109  1.0000  0.0424
-24.000  -1.1914  0.13922   3000000  -0.0172  1.0000  0.0467
-23.000  -1.1730  0.12894   3000000  -0.0228  1.0000  0.0514
-22.000  -1.1576  0.11838   3000000  -0.0277  1.0000  0.0574
-21.000  -1.1445  0.10765   3000000  -0.0320  1.0000  0.0647
-20.000  -1.1328  0.09695   3000000  -0.0356  1.0000  0.0735
-19.000  -1.1342  0.08507   3000000  -0.0386  1.0000  0.0853
-18.000  -1.1314  0.07416   3000000  -0.0408  1.0000  0.1007
-17.000  -1.1483  0.06193   3000000  -0.0419  1.0000  0.1220
-16.000  -1.1780  0.05004   3000000  -0.0404  1.0000  0.1493
-15.000  -1.1893  0.03729   3000000  -0.0441  0.9884  0.1871
-14.000  -1.2081  0.02700   3000000  -0.0426  0.7534  0.2231
-13.000  -1.2013  0.01967   3000000  -0.0403  0.6705  0.2523
-12.000  -1.1545  0.01474   3000000  -0.0405  0.6262  0.2745
-11.000  -1.0328  0.01185   3000000  -0.0503  0.5913  0.2977
-10.000  -0.8900  0.01029   3000000  -0.0610  0.5616  0.3161
 -9.000  -0.7476  0.00946   3000000  -0.0699  0.5369  0.3356
 -8.000  -0.6087  0.00900   3000000  -0.0770  0.5154  0.3474
 -7.000  -0.4725  0.00881   3000000  -0.0830  0.4955  0.3545
 -6.000  -0.3344  0.00853   3000000  -0.0896  0.4769  0.3667
 -5.000  -0.1988  0.00846   3000000  -0.0952  0.4583  0.3745
 -4.000  -0.0625  0.00833   3000000  -0.1010  0.4457  0.3851
 -3.000   0.0726  0.00829   3000000  -0.1063  0.4325  0.3940
 -2.000   0.2067  0.00833   3000000  -0.1114  0.4165  0.4032
 -1.000   0.3405  0.00837   3000000  -0.1164  0.4055  0.4130
  0.000   0.4731  0.00846   3000000  -0.1211  0.3941  0.4218
  1.000   0.6046  0.00864   3000000  -0.1255  0.3791  0.4322
  2.000   0.7354  0.00878   3000000  -0.1297  0.3712  0.4407
  3.000   0.8649  0.00901   3000000  -0.1337  0.3593  0.4523
  4.000   0.9922  0.00929   3000000  -0.1371  0.3490  0.4601
  5.000   1.1193  0.00956   3000000  -0.1406  0.3393  0.4733
  6.000   1.2419  0.01001   3000000  -0.1431  0.3265  0.4805
  7.000   1.3653  0.01033   3000000  -0.1458  0.3193  0.4951
  8.000   1.4828  0.01087   3000000  -0.1473  0.3079  0.5044
  9.000   1.5976  0.01142   3000000  -0.1484  0.2980  0.5176
 10.000   1.7076  0.01204   3000000  -0.1485  0.2879  0.5292
 11.000   1.8012  0.01315   3000000  -0.1458  0.2668  0.5401
 12.000   1.8745  0.01447   3000000  -0.1393  0.2526  0.5535
 13.000   1.9429  0.01640   3000000  -0.1329  0.2371  0.5626
 14.000   1.9967  0.01936   3000000  -0.1256  0.2185  0.5779
 15.000   2.0350  0.02388   3000000  -0.1184  0.1999  0.5863
 16.000   2.0352  0.03263   3000000  -0.1114  0.1763  0.6011
 17.000   1.9868  0.04746   3000000  -0.1058  0.1529  0.6078
 18.000   1.8953  0.06787   3000000  -0.1019  0.1312  0.6179
 19.000   1.8051  0.08953   3000000  -0.1010  0.1115  0.6257
 20.000   1.7381  0.10950   3000000  -0.1027  0.0940  0.6309
 21.000   1.6956  0.12725   3000000  -0.1069  0.0789  0.6425
 22.000   1.6746  0.14259   3000000  -0.1124  0.0673  0.6522
 23.000   1.6619  0.15694   3000000  -0.1191  0.0578  0.6620
 24.000   1.6640  0.16929   3000000  -0.1262  0.0506  0.6750
 25.000   1.6717  0.18067   3000000  -0.1337  0.0450  0.6863
 26.000   1.6817  0.19160   3000000  -0.1417  0.0403  0.6996
 27.000   1.6926  0.20224   3000000  -0.1503  0.0362  0.7132
 29.000   1.7165  0.22243   3000000  -0.1685  0.0302  0.7414
 30.000   1.7286  0.23217   3000000  -0.1783  0.0278  0.7575

XFOIL
Airfoil = OSO-30
Re = 3e6
Ncrit = 3.0
X_trip_upper = 0.05
X_trip_lower = 0.05
 alpha      CL      CD        Re       CM     S_xtr   P_xtr
-------  -------  -------  --------  -------  ------  ------
-30.000  -1.2701  0.20478   3000000   0.0331  1.0000  0.0191
-29.000  -1.2514  0.19491   3000000   0.0236  1.0000  0.0202
-28.000  -1.2331  0.18485   3000000   0.0146  1.0000  0.0216
-27.000  -1.2127  0.17490   3000000   0.0062  1.0000  0.0233
-26.000  -1.1913  0.16496   3000000  -0.0015  1.0000  0.0249
-25.000  -1.1686  0.15517   3000000  -0.0086  1.0000  0.0268
-24.000  -1.1471  0.14509   3000000  -0.0151  1.0000  0.0293
-23.000  -1.1228  0.13541   3000000  -0.0208  1.0000  0.0312
-22.000  -1.1019  0.12527   3000000  -0.0261  1.0000  0.0345
-21.000  -1.0807  0.11527   3000000  -0.0306  1.0000  0.0376
-20.000  -1.0552  0.10498   3000000  -0.0359  0.9466  0.0418
-19.000  -1.0347  0.09606   3000000  -0.0384  0.6703  0.0459
-18.000  -1.0052  0.08765   3000000  -0.0422  0.0500  0.0500
-17.000  -0.9701  0.07967   3000000  -0.0448  0.0500  0.0500
-16.000  -0.9328  0.07201   3000000  -0.0471  0.0500  0.0500
-15.000  -0.8930  0.06475   3000000  -0.0491  0.0500  0.0500
-14.000  -0.8506  0.05790   3000000  -0.0509  0.0500  0.0500
-13.000  -0.8054  0.05147   3000000  -0.0524  0.0500  0.0500
-12.000  -0.7576  0.04542   3000000  -0.0536  0.0500  0.0500
-11.000  -0.7085  0.03964   3000000  -0.0547  0.0500  0.0500
-10.000  -0.6529  0.03465   3000000  -0.0555  0.0500  0.0500
 -9.000  -0.5941  0.03016   3000000  -0.0560  0.0500  0.0500
 -8.000  -0.5355  0.02603   3000000  -0.0559  0.0500  0.0500
 -7.000  -0.4930  0.02221   3000000  -0.0526  0.0500  0.0500
 -6.000  -0.4137  0.01932   3000000  -0.0546  0.0500  0.0500
 -5.000  -0.2970  0.01740   3000000  -0.0615  0.0500  0.0500
 -4.000  -0.1639  0.01603   3000000  -0.0703  0.0500  0.0500
 -3.000  -0.0231  0.01512   3000000  -0.0797  0.0500  0.0500
 -2.000   0.1170  0.01462   3000000  -0.0880  0.0500  0.0500
 -1.000   0.2522  0.01444   3000000  -0.0944  0.0500  0.0500
  0.000   0.3850  0.01441   3000000  -0.1002  0.0500  0.0500
  1.000   0.5155  0.01451   3000000  -0.1052  0.0500  0.0500
  2.000   0.6432  0.01473   3000000  -0.1096  0.0500  0.0500
  3.000   0.7677  0.01505   3000000  -0.1132  0.0500  0.0500
  4.000   0.8882  0.01548   3000000  -0.1160  0.0500  0.0500
  5.000   1.0033  0.01603   3000000  -0.1177  0.0500  0.0500
  6.000   1.1096  0.01672   3000000  -0.1178  0.0500  0.0500
  7.000   1.1906  0.01762   3000000  -0.1130  0.0500  0.0500
  8.000   1.2708  0.01913   3000000  -0.1089  0.0500  0.0500
  9.000   1.3478  0.02116   3000000  -0.1052  0.0500  0.0500
 11.000   1.4749  0.02827   3000000  -0.0987  0.0500  0.0500
 12.000   1.5222  0.03439   3000000  -0.0970  0.0500  0.0500
 13.000   1.5529  0.04276   3000000  -0.0959  0.0500  0.0500
 14.000   1.5666  0.05306   3000000  -0.0949  0.0500  0.0500
 17.000   1.5765  0.09132   3000000  -0.0993  0.0500  0.5347
 18.000   1.5760  0.10411   3000000  -0.1007  0.0500  0.5404
 19.000   1.5701  0.11776   3000000  -0.1033  0.0476  0.5525
 20.000   1.5641  0.13147   3000000  -0.1072  0.0417  0.5602
 21.000   1.5704  0.14365   3000000  -0.1119  0.0376  0.5698
 22.000   1.5732  0.15635   3000000  -0.1180  0.0336  0.5809
 23.000   1.5871  0.16737   3000000  -0.1242  0.0308  0.5886
 24.000   1.6012  0.17822   3000000  -0.1311  0.0279  0.6030
 25.000   1.6158  0.18880   3000000  -0.1386  0.0253  0.6101
 26.000   1.6343  0.19868   3000000  -0.1463  0.0236  0.6261
 27.000   1.6493  0.20877   3000000  -0.1548  0.0215  0.6337
 28.000   1.6658  0.21843   3000000  -0.1636  0.0200  0.6503
 29.000   1.6806  0.22809   3000000  -0.1730  0.0187  0.6591
 30.000   1.6955  0.23751   3000000  -0.1827  0.0174  0.6754

XFOIL
Airfoil = OSO-30
Re = 6e6
Ncrit = 9.0
X_trip_upper = 1.0
X_trip_lower = 1.0
 alpha      CL      CD        Re       CM     S_xtr   P_xtr
-------  -------  -------  --------  -------  ------  ------
-30.000  -1.3617  0.19120   6000000   0.0248  1.0000  0.0240
-29.000  -1.3478  0.18094   6000000   0.0157  1.0000  0.0262
-28.000  -1.3272  0.17142   6000000   0.0075  1.0000  0.0278
-27.000  -1.3102  0.16128   6000000  -0.0003  1.0000  0.0302
-26.000  -1.2899  0.15154   6000000  -0.0073  1.0000  0.0325
-25.000  -1.2700  0.14164   6000000  -0.0137  1.0000  0.0349
-24.000  -1.2533  0.13135   6000000  -0.0195  1.0000  0.0385
-23.000  -1.2354  0.12121   6000000  -0.0246  1.0000  0.0420
-22.000  -1.2187  0.11101   6000000  -0.0291  1.0000  0.0463
-21.000  -1.2022  0.10091   6000000  -0.0329  1.0000  0.0510
-20.000  -1.1889  0.09064   6000000  -0.0361  1.0000  0.0574
-19.000  -1.1771  0.08043   6000000  -0.0387  1.0000  0.0649
-18.000  -1.1730  0.06974   6000000  -0.0407  1.0000  0.0738
-17.000  -1.1655  0.06005   6000000  -0.0417  1.0000  0.0865
-16.000  -1.1595  0.04952   6000000  -0.0443  0.8066  0.1040
-15.000  -1.1640  0.03951   6000000  -0.0444  0.6877  0.1266
-14.000  -1.1776  0.02927   6000000  -0.0434  0.6398  0.1590
-13.000  -1.1913  0.02003   6000000  -0.0409  0.6044  0.1946
-12.000  -1.1586  0.01339   6000000  -0.0422  0.5738  0.2299
-11.000  -1.0205  0.01024   6000000  -0.0557  0.5462  0.2655
-10.000  -0.8733  0.00897   6000000  -0.0666  0.5227  0.2884
 -9.000  -0.7324  0.00832   6000000  -0.0745  0.5008  0.3102
 -8.000  -0.5926  0.00787   6000000  -0.0817  0.4809  0.3304
 -7.000  -0.4562  0.00770   6000000  -0.0875  0.4666  0.3377
 -6.000  -0.3186  0.00747   6000000  -0.0937  0.4522  0.3508
 -5.000  -0.1832  0.00742   6000000  -0.0992  0.4355  0.3587
 -4.000  -0.0475  0.00736   6000000  -0.1047  0.4198  0.3688
 -3.000   0.0875  0.00732   6000000  -0.1099  0.4101  0.3782
 -2.000   0.2217  0.00735   6000000  -0.1150  0.3961  0.3867
 -1.000   0.3553  0.00742   6000000  -0.1198  0.3833  0.3967
  0.000   0.4883  0.00749   6000000  -0.1245  0.3742  0.4046
  1.000   0.6203  0.00763   6000000  -0.1290  0.3601  0.4161
  2.000   0.7513  0.00779   6000000  -0.1331  0.3518  0.4228
  3.000   0.8818  0.00796   6000000  -0.1373  0.3411  0.4359
  4.000   1.0097  0.00825   6000000  -0.1408  0.3288  0.4415
  5.000   1.1383  0.00844   6000000  -0.1445  0.3213  0.4562
  6.000   1.2630  0.00882   6000000  -0.1473  0.3085  0.4628
  7.000   1.3875  0.00914   6000000  -0.1502  0.3006  0.4770
  8.000   1.5089  0.00955   6000000  -0.1524  0.2903  0.4869
  9.000   1.6259  0.01010   6000000  -0.1539  0.2765  0.4982
 10.000   1.7348  0.01093   6000000  -0.1539  0.2544  0.5111
 11.000   1.8364  0.01187   6000000  -0.1525  0.2362  0.5197
 12.000   1.9250  0.01303   6000000  -0.1488  0.2173  0.5351
 13.000   1.9794  0.01492   6000000  -0.1391  0.1985  0.5412
 14.000   2.0217  0.01807   6000000  -0.1294  0.1736  0.5579
 15.000   2.0346  0.02385   6000000  -0.1188  0.1461  0.5636
 16.000   2.0167  0.03429   6000000  -0.1110  0.1196  0.5790
 17.000   1.9673  0.04952   6000000  -0.1059  0.1004  0.5846
 18.000   1.8875  0.06901   6000000  -0.1026  0.0854  0.5931
 19.000   1.8205  0.08824   6000000  -0.1019  0.0741  0.6031
 20.000   1.7689  0.10629   6000000  -0.1032  0.0638  0.6078
 21.000   1.7390  0.12229   6000000  -0.1063  0.0564  0.6196
 22.000   1.7287  0.13594   6000000  -0.1106  0.0493  0.6297
 23.000   1.7180  0.14979   6000000  -0.1164  0.0441  0.6394
 24.000   1.7219  0.16170   6000000  -0.1226  0.0395  0.6522
 25.000   1.7295  0.17289   6000000  -0.1294  0.0355  0.6627
 26.000   1.7393  0.18367   6000000  -0.1367  0.0322  0.6760
 27.000   1.7493  0.19426   6000000  -0.1448  0.0291  0.6887
 28.000   1.7630  0.20409   6000000  -0.1530  0.0271  0.7006
 29.000   1.7743  0.21397   6000000  -0.1619  0.0249  0.7165
 30.000   1.7856  0.22363   6000000  -0.1712  0.0231  0.7273

XFOIL
Airfoil = OSO-30
Re = 6e6
Ncrit = 3.0
X_trip_upper = 0.05
X_trip_lower = 0.05
 alpha      CL      CD        Re       CM     S_xtr   P_xtr
-------  -------  -------  --------  -------  ------  ------
-30.000  -1.3249  0.19675   6000000   0.0281  1.0000  0.0158
-29.000  -1.3084  0.18670   6000000   0.0189  1.0000  0.0170
-28.000  -1.2880  0.17706   6000000   0.0104  1.0000  0.0180
-27.000  -1.2688  0.16708   6000000   0.0024  1.0000  0.0193
-26.000  -1.2464  0.15749   6000000  -0.0048  1.0000  0.0204
-25.000  -1.2268  0.14737   6000000  -0.0116  1.0000  0.0224
-24.000  -1.2034  0.13776   6000000  -0.0175  1.0000  0.0235
-23.000  -1.1835  0.12764   6000000  -0.0230  1.0000  0.0258
-22.000  -1.1607  0.11828   6000000  -0.0276  0.7564  0.0277
-21.000  -1.1396  0.10845   6000000  -0.0319  0.6633  0.0301
-20.000  -1.1190  0.09866   6000000  -0.0357  0.6193  0.0333
-19.000  -1.0945  0.08943   6000000  -0.0389  0.5906  0.0358
-17.000  -1.0461  0.07166   6000000  -0.0447  0.0500  0.0441
-15.000  -0.9843  0.05581   6000000  -0.0482  0.0500  0.0500
-14.000  -0.9396  0.04945   6000000  -0.0497  0.0500  0.0500
-13.000  -0.8916  0.04353   6000000  -0.0509  0.0500  0.0500
-12.000  -0.8397  0.03808   6000000  -0.0519  0.0500  0.0500
-11.000  -0.7844  0.03307   6000000  -0.0528  0.0500  0.0500
-10.000  -0.7292  0.02821   6000000  -0.0533  0.0500  0.0500
 -9.000  -0.6687  0.02419   6000000  -0.0534  0.0500  0.0500
 -8.000  -0.6277  0.02028   6000000  -0.0499  0.0500  0.0500
 -7.000  -0.5345  0.01769   6000000  -0.0538  0.0500  0.0500
 -6.000  -0.4128  0.01579   6000000  -0.0615  0.0500  0.0500
 -5.000  -0.2766  0.01449   6000000  -0.0706  0.0500  0.0500
 -4.000  -0.1336  0.01359   6000000  -0.0803  0.0500  0.0500
 -3.000   0.0069  0.01311   6000000  -0.0883  0.0500  0.0500
 -2.000   0.1435  0.01289   6000000  -0.0949  0.0500  0.0500
 -1.000   0.2783  0.01280   6000000  -0.1009  0.0500  0.0500
  0.000   0.4114  0.01282   6000000  -0.1063  0.0500  0.0500
  1.000   0.5426  0.01293   6000000  -0.1113  0.0500  0.0500
  2.000   0.6717  0.01313   6000000  -0.1157  0.0500  0.0500
  3.000   0.7982  0.01341   6000000  -0.1195  0.0500  0.0500
  4.000   0.9218  0.01378   6000000  -0.1227  0.0500  0.0500
  5.000   1.0416  0.01424   6000000  -0.1251  0.0500  0.0500
  6.000   1.1564  0.01480   6000000  -0.1266  0.0500  0.0500
  7.000   1.2631  0.01547   6000000  -0.1265  0.0500  0.0500
  8.000   1.3561  0.01632   6000000  -0.1239  0.0500  0.0500
  9.000   1.4248  0.01771   6000000  -0.1171  0.0500  0.0500
 10.000   1.5011  0.01959   6000000  -0.1128  0.0500  0.0500
 11.000   1.5697  0.02221   6000000  -0.1086  0.0500  0.0500
 13.000   1.6783  0.03146   6000000  -0.1022  0.0500  0.0500
 15.000   1.7511  0.04826   6000000  -0.1031  0.0500  0.4990
 16.000   1.7290  0.06219   6000000  -0.1012  0.0462  0.5065
 17.000   1.6971  0.07774   6000000  -0.1004  0.0417  0.5158
 18.000   1.6631  0.09402   6000000  -0.1008  0.0376  0.5205
 19.000   1.6528  0.10775   6000000  -0.1023  0.0346  0.5304
 20.000   1.6368  0.12250   6000000  -0.1055  0.0312  0.5393
 21.000   1.6390  0.13489   6000000  -0.1093  0.0285  0.5478
 22.000   1.6375  0.14793   6000000  -0.1147  0.0259  0.5582
 23.000   1.6477  0.15926   6000000  -0.1203  0.0240  0.5666
 24.000   1.6595  0.17028   6000000  -0.1268  0.0219  0.5784
 25.000   1.6741  0.18067   6000000  -0.1336  0.0203  0.5873
 26.000   1.6886  0.19096   6000000  -0.1412  0.0187  0.6003
 27.000   1.7054  0.20068   6000000  -0.1490  0.0177  0.6098
 28.000   1.7183  0.21074   6000000  -0.1577  0.0161  0.6235
 29.000   1.7340  0.22006   6000000  -0.1664  0.0152  0.6336
 30.000   1.7469  0.22964   6000000  -0.1759  0.0142  0.6480

XFOIL
Airfoil = OSO-30
Re = 12e6
Ncrit = 9.0
X_trip_upper = 1.0
X_trip_lower = 1.0
 alpha      CL      CD        Re       CM     S_xtr   P_xtr
-------  -------  -------  --------  -------  ------  ------
-30.000  -1.4205  0.18303  12000000   0.0201  1.0000  0.0204
-29.000  -1.4050  0.17310  12000000   0.0115  1.0000  0.0223
-28.000  -1.3863  0.16347  12000000   0.0036  1.0000  0.0235
-27.000  -1.3683  0.15368  12000000  -0.0036  1.0000  0.0254
-26.000  -1.3493  0.14387  12000000  -0.0102  1.0000  0.0270
-25.000  -1.3320  0.13386  12000000  -0.0162  1.0000  0.0294
-24.000  -1.3119  0.12414  12000000  -0.0214  1.0000  0.0310
-23.000  -1.2977  0.11379  12000000  -0.0261  1.0000  0.0344
-22.000  -1.2811  0.10382  12000000  -0.0301  1.0000  0.0375
-21.000  -1.2631  0.09410  12000000  -0.0335  1.0000  0.0406
-20.000  -1.2464  0.08439  12000000  -0.0364  1.0000  0.0447
-19.000  -1.2288  0.07500  12000000  -0.0388  1.0000  0.0493
-18.000  -1.2106  0.06585  12000000  -0.0411  0.8096  0.0560
-17.000  -1.1990  0.05643  12000000  -0.0427  0.6934  0.0636
-16.000  -1.1791  0.04806  12000000  -0.0438  0.6390  0.0737
-15.000  -1.1668  0.03925  12000000  -0.0443  0.6019  0.0865
-14.000  -1.1556  0.03076  12000000  -0.0442  0.5724  0.1047
-13.000  -1.1412  0.02303  12000000  -0.0433  0.5505  0.1280
-11.000  -1.0205  0.01028  12000000  -0.0551  0.5115  0.2117
-10.000  -0.8673  0.00851  12000000  -0.0682  0.4920  0.2493
 -9.000  -0.7248  0.00778  12000000  -0.0765  0.4740  0.2741
 -8.000  -0.5830  0.00720  12000000  -0.0842  0.4559  0.3041
 -7.000  -0.4451  0.00695  12000000  -0.0905  0.4370  0.3206
 -6.000  -0.3081  0.00678  12000000  -0.0964  0.4256  0.3343
 -5.000  -0.1727  0.00671  12000000  -0.1018  0.4133  0.3420
 -4.000  -0.0370  0.00666  12000000  -0.1072  0.3973  0.3525
 -3.000   0.0976  0.00667  12000000  -0.1123  0.3866  0.3620
 -2.000   0.2322  0.00666  12000000  -0.1174  0.3762  0.3699
 -1.000   0.3657  0.00674  12000000  -0.1222  0.3609  0.3810
  0.000   0.4988  0.00681  12000000  -0.1268  0.3538  0.3873
  1.000   0.6314  0.00691  12000000  -0.1314  0.3419  0.4000
  2.000   0.7623  0.00710  12000000  -0.1355  0.3313  0.4051
  3.000   0.8936  0.00721  12000000  -0.1398  0.3230  0.4191
  4.000   1.0221  0.00749  12000000  -0.1434  0.3088  0.4247
  5.000   1.1511  0.00768  12000000  -0.1471  0.3023  0.4386
  6.000   1.2776  0.00798  12000000  -0.1503  0.2915  0.4465
  7.000   1.4021  0.00835  12000000  -0.1531  0.2784  0.4587
  8.000   1.5246  0.00875  12000000  -0.1556  0.2683  0.4692
  9.000   1.6387  0.00955  12000000  -0.1565  0.2396  0.4790
 10.000   1.7493  0.01035  12000000  -0.1568  0.2172  0.4921
